code_commune,commune,price_euro_m2
11164,Ginestas,11.2678589428267
11233,Mirepeisset,11.2678589428267
11369,Sallèles-d'Aude,11.2678589428267
11353,Saint-Marcel-sur-Aude,11.2678589428267
11405,Ventenac-en-Minervois,11.2678589428267
11217,Marcorignan,11.2678589428267
11116,Cuxac-d'Aude,11.1847604594343
11264,Névian,11.2678589428267
11012,Argeliers,11.2678589428267
11366,Sainte-Valière,11.2678589428267
11106,Coursan,11.1571503214417
11307,Raissac-d'Aude,11.2678589428267
11258,Moussan,11.2678589428267
11255,Montredon-des-Corbières,11.2678589428267
11360,Saint-Nazaire-d'Aude,11.2678589428267
34170,Montouliers,11.2678589428267
8312,Murtin-et-Bogny,8.7990821891476
8175,Foisches,8.7990821891476
8169,Flaignes-Havys,8.7990821891476
8110,Le Châtelet-sur-Sormonne,8.7990821891476
8188,Gespunsart,8.7990821891476
8078,Bourg-Fidèle,8.7990821891476
8214,Hargnies,8.7990821891476
8242,Laifour,8.7990821891476
8106,Charnois,8.7990821891476
8254,Liart,8.7990821891476
8302,Monthermé,8.7990821891476
8449,Thin-le-Moutier,8.7990821891476
8149,L'Échelle,8.7990821891476
8141,Dommery,8.7990821891476
8417,Sévigny-la-Forêt,8.7990821891476
8189,Girondelle,8.7990821891476
8094,Cernion,8.7990821891476
8226,Hierges,8.7990821891476
8315,Neufmaison,8.7990821891476
8028,Aubrives,8.7990821891476
8154,Estrebay,8.7990821891476
8207,Ham-sur-Meuse,8.7990821891476
8353,Rancennes,8.7990821891476
8156,Éteignières,8.7990821891476
8121,Chilly,8.7990821891476
8257,Logny-Bogny,8.7990821891476
8202,Gué-d'Hossus,8.7990821891476
8363,Revin,8.92212635434273
8277,Marlemont,8.7990821891476
8247,Landrichamps,8.7990821891476
8367,Rocroi,8.7990821891476
8011,Anchamps,8.7990821891476
8304,Montigny-sur-Meuse,8.7990821891476
8249,Laval-Morency,8.7990821891476
8436,Taillette,8.7990821891476
8183,Fromelennes,8.7990821891476
8460,Tremblois-lès-Rocroi,8.7990821891476
8491,Vrigne aux Bois,9.87036494650564
8190,Givet,9.2734975320325
8496,Wagnon,8.7990821891476
8218,Les Hautes-Rivières,8.7990821891476
8166,Fépin,8.7990821891476
8139,Deville,8.7990821891476
8222,Haybes,8.7990821891476
8272,Maranwez,8.7990821891476
8365,Rimogne,8.7990821891476
8486,Vireux-Molhain,8.7990821891476
8122,Chooz,8.7990821891476
8185,Fumay,8.7990821891476
8358,Remilly-les-Pothées,8.7990821891476
8487,Vireux-Wallerand,8.7990821891476
8273,Marby,8.7990821891476
8488,Vivier-au-Court,8.7990821891476
8448,Thilay,8.7990821891476
8251,Lépron-les-Vallées,8.7990821891476
77258,Lognes,21.0706492118254
34016,Aumelas,14.0243976939002
34051,Canet,14.0243976939002
34088,Cournonterral,15.3720705661644
34215,Pouzols,14.0243976939002
34328,Vendémian,14.0243976939002
34194,Paulhan,13.5008841831052
34204,Plaissan,14.0243976939002
34208,Popian,14.0243976939002
34029,Bélarga,14.0243976939002
34222,Puilacher,14.0243976939002
34241,Saint-Bauzille-de-la-Sylve,14.0243976939002
34341,Villeveyrac,14.0243976939002
34315,Usclas-d'Hérault,14.0243976939002
69291,Saint-Symphorien-d'Ozon,16.2666690683025
69281,Marennes,16.4669272653734
69294,Sérézin-du-Rhône,16.4288467035532
60006,Les Ageux,15.0355246526511
60539,Rieux,15.0355246526511
60541,Roberval,15.0355246526511
60050,Bazicourt,15.0355246526511
60508,Pontpoint,15.6651438926057
60078,Blincourt,15.0355246526511
60406,Monceaux,15.0355246526511
60102,Brenouille,15.0355246526511
60509,Pont-Sainte-Maxence,14.9965329745068
60056,Beaurepaire,15.0355246526511
60563,Sacy-le-Petit,15.0355246526511
78497,Poigny-la-Forêt,16.8594419639064
78606,Le Tartre-Gaudran,16.8594419639064
78407,Mittainville,16.8594419639064
28292,Ouerre,16.8594419639064
28146,Faverolles,16.8594419639064
78517,Rambouillet,19.6877883989771
78283,Grandchamp,16.8594419639064
28343,Saint-Laurent-la-Gâtine,16.8594419639064
28118,Croisilles,16.8594419639064
78077,La Boissière-École,16.8594419639064
28372,Senantes,16.8594419639064
40109,Gaujacq,13.2161047020863
40214,Ossages,13.2161047020863
40186,Misson,13.2161047020863
40316,Tilh,13.2161047020863
40188,Momuy,13.2161047020863
40034,Bélus,13.2161047020863
40205,Nousse,13.2161047020863
40253,Saint-Cricq-Chalosse,13.2161047020863
40199,Mouscardès,13.2161047020863
40212,Orthevielle,13.2161047020863
40095,Estibeaux,13.2161047020863
40222,Pey,13.2161047020863
40235,Poyanne,13.2161047020863
40190,Monségur,13.2161047020863
40116,Gouts,13.2161047020863
40074,Castel-Sarrazin,13.2161047020863
40233,Pouillon,13.2161047020863
40223,Peyre,13.2161047020863
40284,Saint-Vincent-de-Tyrosse,15.9606274361956
40208,Onard,13.2161047020863
40198,Morganx,13.2161047020863
40237,Préchacq-les-Bains,13.2161047020863
40249,Saint-Aubin,13.2161047020863
40079,Cazalis,13.2161047020863
40007,Argelos,13.2161047020863
40121,Hauriet,13.2161047020863
40138,Lacrabe,13.2161047020863
40011,Arsague,13.2161047020863
40141,Lahosse,13.2161047020863
40177,Maylis,13.2161047020863
40104,Gamarde-les-Bains,13.2161047020863
40089,Doazit,13.2161047020863
40231,Port-de-Lanne,13.2161047020863
40147,Laurède,13.2161047020863
40054,Brassempouy,13.2161047020863
40143,Lamothe,13.2161047020863
40256,Saint-Étienne-d'Orthe,13.2161047020863
40299,Serreslous-et-Arribans,13.2161047020863
40129,Josse,13.2161047020863
40309,Souprosse,13.2161047020863
40059,Cagnotte,13.2161047020863
82142,Pompignan,12.0199214952883
31515,Saint-Rustice,12.0199214952883
31118,Castelnau-d'Estrétefonds,13.3564933414267
31403,Ondes,12.0199214952883
71480,Saint-Sernin-du-Plain,9.81190353898052
71551,Uchon,9.81190353898052
71468,Saint-Pierre-de-Varennes,9.81190353898052
71391,Saint-Bérain-sur-Dheune,9.81190353898052
71482,Saint-Symphorien-de-Marmagne,9.81190353898052
71038,Les Bizots,9.81190353898052
71183,Dracy-lès-Couches,9.81190353898052
71579,Villeneuve-en-Montagne,9.81190353898052
71363,Le Puley,9.81190353898052
71479,Saint-Sernin-du-Bois,9.81190353898052
71309,Montcenis,9.81190353898052
71191,Essertenne,9.81190353898052
71435,Saint-Julien-sur-Dheune,9.81190353898052
71431,Saint-Jean-de-Trézy,9.81190353898052
71464,Saint-Maurice-lès-Couches,9.81190353898052
71390,Saint-Berain-sous-Sanvignes,9.81190353898052
71320,Mont-Saint-Vincent,9.81190353898052
71103,Charmoy,9.81190353898052
71347,Perreuil,9.81190353898052
71278,Marigny,9.81190353898052
71321,Morey,9.81190353898052
71149,Couches,9.81190353898052
71153,Le Creusot,10.2339311478365
71465,Saint-Micaud,9.81190353898052
71059,Le Breuil,9.81190353898052
71412,Saint-Eusèbe,9.81190353898052
71413,Saint-Firmin,9.81190353898052
35261,Saint-Christophe-de-Valains,10.0112755543276
35282,Rives-du-Couesnon,10.0112755543276
50353,Le Mont-Saint-Michel,10.0112755543276
35280,Saint-Hilaire-des-Landes,10.0112755543276
50589,Tanis,10.0112755543276
50500,Saint-Laurent-de-Terregatte,10.0112755543276
35215,Parigné,10.0112755543276
50168,Ducey-Les Chéris,10.0112755543276
50347,Montjoie-Saint-Martin,10.0112755543276
50553,Saint-Senier-de-Beuvron,10.0112755543276
50410,Pontorson,10.1413553306367
35357,Villamée,10.0112755543276
50108,Céaux,10.0112755543276
35086,Combourtillé,10.0112755543276
35304,Saint-Ouen-des-Alleux,10.0112755543276
35142,Landéan,10.0112755543276
35230,Poilley,10.0112755543276
50413,Précey,10.0112755543276
35292,Saint-Marc-le-Blanc,10.0112755543276
50574,Servon,10.0112755543276
50259,Juilley,10.0112755543276
35191,Les Portes du Coglais,10.0112755543276
50443,Sacey,10.0112755543276
50448,Saint-Aubin-de-Terregatte,10.0112755543276
50253,Huisnes-sur-Mer,10.0112755543276
35004,Val-Couesnon,10.0112755543276
50146,Courtils,10.0112755543276
50155,Crollon,10.0112755543276
62851,Vieille-Chapelle,14.1219374414561
59371,Le Maisnil,14.1219374414561
62330,Festubert,14.1219374414561
59250,Fournes-en-Weppes,14.1219374414561
62529,Lorgies,14.1219374414561
62706,Richebourg,14.1219374414561
62606,Neuve-Chapelle,14.1219374414561
59487,Radinghem-en-Weppes,14.1219374414561
59025,Aubers,14.1219374414561
59268,La Gorgue,13.203036988796
62491,Laventie,13.11686990306
59257,Fromelles,14.1219374414561
33376,Saint-Aubin-de-Médoc,14.1908523889176
33256,Ludon-Médoc,14.1908523889176
33262,Macau,14.1908523889176
33012,Arsac,14.1908523889176
33519,Le Taillan-Médoc,15.8054807315656
33211,Labarde,14.1908523889176
33268,Margaux-Cantenac,14.1908523889176
33322,Le Pian-Médoc,14.1908523889176
49057,Cernusson,9.93176754662814
79238,Saint-Aubin-du-Plain,9.93176754662814
49092,Chemillé-en-Anjou,10.9094147266904
79103,Courlay,9.93176754662814
79062,Cerizay,9.93176754662814
79236,Saint-André-sur-Sèvre,9.93176754662814
49102,Cléré-sur-Layon,9.93176754662814
79132,Genneton,9.93176754662814
79050,Bretignolles,9.93176754662814
79195,Nueil-les-Aubiers,9.93176754662814
79280,Saint Maurice Étusson,9.93176754662814
49373,Lys-Haut-Layon,10.0666675478215
79123,La Forêt-sur-Sèvre,9.93176754662814
49236,Passavant-sur-Layon,9.93176754662814
79242,Voulmentin,9.93176754662814
79091,Cirières,9.93176754662814
62167,Boursin,13.1651517948168
62056,Audresselles,13.1651517948168
62397,Guînes,13.1651517948168
62054,Audinghen,13.1651517948168
62203,Campagne-lès-Guines,13.1651517948168
62020,Alembon,13.1651517948168
62775,Sanghen,13.1651517948168
62560,Marquise,13.445313554415
62506,Licques,13.1651517948168
62894,Wimille,13.1651517948168
62505,Leulinghen-Bernes,13.1651517948168
62893,Wimereux,15.2110092740801
62160,Boulogne-sur-Mer,12.7362004552597
62705,Rety,13.1651517948168
62755,Saint-Léonard,13.1651517948168
62643,Outreau,12.6641814068689
62711,Rinxent,13.1651517948168
62300,Équihen-Plage,13.1651517948168
62329,Ferques,13.1651517948168
62487,Landrethun-le-Nord,13.1651517948168
62746,Saint-Étienne-au-Mont,13.1651517948168
62191,Caffiers,13.1651517948168
62025,Ambleteuse,13.1651517948168
62667,Le Portel,12.8250153730666
56108,Larré,12.353183222741
56157,Plaudren,12.353183222741
56065,Gourhel,12.353183222741
56079,Guillac,12.353183222741
56261,La Vraie-Croix,12.353183222741
56139,Montertelot,12.353183222741
56219,Saint-Guyomard,12.353183222741
56165,Ploërmel,13.2332313945816
56045,Le Cours,12.353183222741
56249,Taupont,12.353183222741
56197,Val d'Oust,12.353183222741
56020,Bohal,12.353183222741
56133,Missiriac,12.353183222741
56228,Saint-Marcel,12.353183222741
56254,Trédion,12.353183222741
56202,Saint-Abraham,12.353183222741
